model_rank,model_id,model_status,exclusion_reason,variable_1,test_type_1,test_statistic_1,p_value_1,variable_2,test_type_2,test_statistic_2,p_value_2,variable_3,test_type_3,test_statistic_3,p_value_3,variable_4,test_type_4,test_statistic_4,p_value_4,r_squared,adjusted_r_squared,RMSE,MAE,spearman,f_statistics,f_p_value,aic,aicc,bic,vif,max_vif,mean_vif,condition_number,max_cooks_distance,sign_check,sign_failures,n_observations,n_original_variables,n_parameters,price_included,demand_supply_included,market_speed_included,family_coverage,families_included,sign_rank,vif_rank
2601,57,VALID,,MEDIAN_SALE_PRICE,t,0.12418645102810716,0.9014830914714489,MEDIAN_LIST_PRICE_MOM,t,1.7352809103027644,0.08659049976777032,SOLD_ABOVE_LIST,t,4.8572930741963845,5.9096235640988755e-06,,,,,0.2787785497268993,0.25139039338741453,13.974211452366834,10.956594470985376,0.5143883915574092,10.17879941502273,9.648313662834048e-06,681.3212527604461,681.8340732732667,690.9966151916325,1.1329280721278991,1.1329280721278991,1.0885696685931148,20632490.794069197,0.23698896449416487,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
2602,2791,VALID,,MEDIAN_LIST_PRICE_YOY,t,0.2964430026382941,0.7676697289771997,HOMES_SOLD,t,2.707992382334282,0.008295001752097853,AVG_SALE_TO_LIST,t,4.025739062120232,0.0001294389257863872,,,,,0.278730467849327,0.25134048561575717,13.974677255987764,11.181105475494894,0.4868140572191203,10.176365412450243,9.672987207417662e-06,681.3267859608454,681.839606473666,691.0021483920318,1.0654819286258923,1.0654819286258923,1.0568687990581445,4126.532609871195,1.4375034922497325,PASS,,83,3,4,1,1,1,3,"price, demand_supply, market_speed",0,0
2603,2415,VALID,,MEDIAN_LIST_PRICE_MOM,t,1.7359225340017401,0.08647627314953221,PENDING_SALES_MOM,t,0.04813461919719962,0.961730438299309,SOLD_ABOVE_LIST,t,4.911288485412335,4.78887021866791e-06,,,,,0.27865890959889683,0.25126620996341187,13.975370463317656,10.945307516482101,0.5116582594447073,10.172743588876424,9.709821309982982e-06,681.33502010899,681.8478406218105,691.0103825401764,1.0951532533035686,1.0951532533035686,1.0635975493259837,17.624002993680143,0.6785350338996218,PASS,,83,3,4,1,1,1,3,"price, demand_supply, market_speed",0,0
2604,2595,VALID,,MEDIAN_LIST_PRICE_MOM,t,1.7207377172782958,0.08921305853315899,SOLD_ABOVE_LIST,t,5.107343703289269,2.2119359377790206e-06,OFF_MARKET_IN_TWO_WEEKS_YOY,t,0.03107292941974766,0.975289747673957,,,,,0.27864657011809546,0.251253401894732,13.97548999628225,10.948155232746524,0.5092956451164077,10.172119115467614,9.716186724952378e-06,681.3364399201727,681.8492604329932,691.011802351359,1.0179189724328614,1.0179189724328614,1.013605687511456,17.83774163478376,0.21308828142653585,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
2605,2435,VALID,,MEDIAN_LIST_PRICE_MOM,t,1.7332518923517275,0.08695253797964068,PENDING_SALES_YOY,t,-0.025440968937300853,0.9797673878481616,SOLD_ABOVE_LIST,t,5.068135623242338,2.5842265115326815e-06,,,,,0.27864366387246875,0.2512503852853474,13.975518149032403,10.949320187705164,0.510450701010243,10.171972040012367,9.717686523386871e-06,681.3367743164494,681.8495948292699,691.0121367476357,1.021303890645627,1.021303890645627,1.0169336377505191,17.687884698568368,0.22739973984275047,FAIL,PENDING_SALES_YOY,83,3,4,1,1,1,3,"price, demand_supply, market_speed",2,0
2606,5530,VALID,,HOMES_SOLD_MOM,t,0.6108210188808016,0.5430715320227423,AVG_SALE_TO_LIST,t,1.7289993953295046,0.08771535213827598,SOLD_ABOVE_LIST,t,2.643345003244599,0.009896555412361696,,,,,0.2785231005906941,0.2511252436511002,13.97668599344683,10.976333756442019,0.5188826090352414,10.165871776204058,9.780102978077349e-06,681.3506452921991,681.8634658050197,691.0260077233855,2.070349886555452,2.070349886555452,1.699477640711116,117.1898947010759,0.592414226616186,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
2607,7060,VALID,,AVG_SALE_TO_LIST,t,4.796440857334707,7.480190172898753e-06,SOLD_ABOVE_LIST_YOY,t,-2.774992908679712,0.006887743194024284,OFF_MARKET_IN_TWO_WEEKS_YOY,t,0.37147548538922975,0.71127785428917,,,,,0.27844434349715363,0.2510434957818557,13.97744882669113,11.160661599645774,0.46561353131317773,10.161887923697249,9.821086125161578e-06,681.3597051553929,681.8725256682135,691.0350675865793,1.0177256299023592,1.0177256299023592,1.0118289768206843,80.78793434519814,0.5075574870947496,FAIL,SOLD_ABOVE_LIST_YOY,83,3,4,0,0,1,1,market_speed,2,0
2608,6103,VALID,,PENDING_SALES_MOM,t,0.5998314386051069,0.5503352259256411,AVG_SALE_TO_LIST,t,1.727496597461533,0.08798623647637663,SOLD_ABOVE_LIST,t,2.704646411279314,0.008371716226877232,,,,,0.2784021459678686,0.2509996958147497,13.977857530564389,10.90306567454128,0.5165829977556965,10.159753759690034,9.843113194281758e-06,681.3645589632603,681.8773794760808,691.0399213944467,2.113887434731437,2.113887434731437,1.7407610524403772,118.45431249712739,0.5613985091633698,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
2609,3218,VALID,,MEDIAN_PPSF,t,1.4045482122324633,0.16407530741528148,HOMES_SOLD_YOY,t,0.9354159520267313,0.35242459947874294,SOLD_ABOVE_LIST,t,5.489052036231944,4.738691201579298e-07,,,,,0.27797498396461107,0.2505563124695963,13.981994132566294,10.973869620135474,0.5180215673689278,10.138163842662912,1.0068809641800043e-05,681.4136776743036,681.9264981871241,691.08904010549,1.133329430889322,1.133329430889322,1.0905060589078905,5716.706083025188,0.23124229109779437,PASS,,83,3,4,1,1,1,3,"price, demand_supply, market_speed",0,0
2610,5162,VALID,,HOMES_SOLD,t,2.7348604876109563,0.007701843221794532,PENDING_SALES_YOY,t,-0.028527944999641678,0.9773130252905053,AVG_SALE_TO_LIST,t,3.9969728226898273,0.00014321490219266976,,,,,0.2779355766629338,0.2505154086881085,13.982375688004586,11.200676960548746,0.49034222794938115,10.13617337859159,1.0089882392528426e-05,681.418207595998,681.9310281088185,691.0935700271843,1.099267721622166,1.099267721622166,1.0781420303292704,4189.27886473455,0.49756003944134247,FAIL,PENDING_SALES_YOY,83,3,4,0,1,1,2,"demand_supply, market_speed",2,0
